Date;Open;High;Low;Close;Adj Close;Volume
07/06/2021;65600;65700;64300;65300;6,06E+14;62576000
08/06/2021;65750;65750;64300;64300;5,97E+14;64348000
09/06/2021;63600;65350;63600;65300;6,06E+14;77198000
10/06/2021;65550;66200;64900;66200;6,14E+14;73262500
11/06/2021;65700;65800;64600;64700;6,00E+14;72780500
14/06/2021;65200;65200;64000;64100;5,95E+14;61478500
15/06/2021;64450;64700;64050;64700;6,00E+14;87799000
16/06/2021;64200;64350;63600;63850;5,93E+12;48984000
17/06/2021;63900;63900;62750;63300;5,87E+14;68448500
18/06/2021;63000;63450;62800;63250;5,87E+13;118043000
21/06/2021;63000;63000;62100;62500;5,80E+14;60823500
22/06/2021;62500;63900;62400;63400;5,88E+12;65824000
23/06/2021;62950;63400;62300;62300;5,78E+14;52451000
24/06/2021;63100;63100;62000;62100;5,76E+14;56010000
25/06/2021;62300;62600;61900;61900;5,74E+14;68939500
28/06/2021;61000;61500;60550;60550;5,62E+13;84420500
29/06/2021;60500;60900;60400;60450;5,61E+13;53704000
30/06/2021;60000;60700;60000;60250;5,59E+13;65795000
01/07/2021;60600;60750;60000;60250;5,59E+13;58153000
02/07/2021;60700;61400;60400;61000;5,66E+14;67392500
05/07/2021;61000;61300;60700;61100;5,67E+13;39710500
06/07/2021;61100;61100;60550;60550;5,62E+13;34279500
07/07/2021;61800;61800;60300;60650;5,63E+11;35595000
08/07/2021;60000;60400;59800;60150;5,58E+14;47297000
09/07/2021;60100;60200;59900;60200;5,59E+14;40707500
12/07/2021;60700;61800;60200;61700;5,73E+14;65981500
13/07/2021;61700;61750;60150;60450;5,61E+13;65946500
14/07/2021;60200;60300;59800;59900;5,56E+14;59321000
15/07/2021;60000;61150;59950;61150;5,67E+13;49724000
16/07/2021;61700;61700;60550;61100;5,67E+13;47998500
19/07/2021;61100;61100;60050;60050;5,57E+14;47119000
21/07/2021;60500;61200;60100;60100;5,58E+14;55009500
22/07/2021;61150;61550;60500;61550;5,71E+14;60792000
23/07/2021;61800;61900;60250;60350;5,60E+14;79938000
26/07/2021;60400;60600;60050;60050;5,57E+14;48171500
27/07/2021;60050;60600;60000;60050;5,57E+14;53107500
28/07/2021;60050;60100;59700;59800;5,55E+12;74133000
29/07/2021;60550;60850;59800;60400;5,60E+14;84605000
30/07/2021;60400;61000;59600;59700;5,54E+11;105685000
02/08/2021;60600;60650;59050;59600;5,53E+13;119981500
03/08/2021;60250;61800;59850;61450;5,70E+14;110071500
04/08/2021;61450;61500;60600;61200;5,68E+13;41112000
05/08/2021;61700;63100;61400;63000;5,85E+11;93768000
06/08/2021;63600;63600;61350;61600;5,72E+11;67285000
09/08/2021;61350;62000;61050;62000;5,75E+14;52858500
10/08/2021;62500;63000;61150;63000;5,85E+11;60446000
12/08/2021;61200;63200;61200;63000;5,85E+11;118325500
13/08/2021;63500;64350;63250;64100;5,95E+14;86929000
16/08/2021;64200;64200;63050;64200;5957515625;69282000
18/08/2021;65200;67600;64600;66000;6,12E+12;186354500
19/08/2021;66000;66000;65300;66000;6,12E+12;100926000
20/08/2021;66000;66000;65100;66000;6,12E+12;120163500
23/08/2021;65150;65900;65150;65900;6,12E+14;68253000
24/08/2021;65700;66000;65000;66000;6,12E+12;59561500
25/08/2021;66000;66050;65850;66000;6,12E+12;80751500
26/08/2021;65600;65800;64700;65600;6,09E+13;74337000
27/08/2021;64900;65300;64900;65100;6,04E+14;71572500
30/08/2021;65300;65800;65200;65650;6,09E+13;74564500
31/08/2021;65200;65700;65150;65500;6,08E+13;115373500
01/09/2021;65500;66000;65350;65650;6,09E+13;67362500
02/09/2021;65250;65750;64550;65400;6,07E+14;53257000
03/09/2021;65600;66000;65150;66000;6,12E+12;35764500
06/09/2021;66000;66050;65500;65750;6,10E+14;36780000
07/09/2021;65950;66050;65700;65700;60967109375;53902000
08/09/2021;65500;65950;64200;64400;5,98E+14;77888000
09/09/2021;64100;65700;64100;65700;60967109375;110074000
10/09/2021;64950;65650;64950;65200;6,05E+14;41483500
13/09/2021;65600;65600;65250;65550;6,08E+14;29929000
14/09/2021;65900;65950;64950;65450;6,07E+11;51990500
15/09/2021;65450;65500;64850;64950;6,03E+13;44514000
16/09/2021;65800;65800;64800;65000;6,03E+13;58672500
17/09/2021;64900;65350;64800;65200;6,05E+14;117540000
